comment_indices,comment_text,comment_label,comment_predicted,comment_prob
0,شہر کو صاف ستھرا بنانے میں نوجوانوں کی شراکت,0,0,2.8749114200365966e-09
1,ہاہاہا ہاہاہا ہاہاہا پاگل کا بچہ,1,0,0.06819574534893036
2,ایگزیکٹلی یہاں کبھی گنہگار کو سزا نہیں ہوتی ان سب کو سزا دو,1,0,0.00634740898385644
3,ماہا گٹھ بندھن کے امید وار کا حوالہ دیتے ہوئے احمد نے کہا تھا کہہ امیدوار کمزور ہے اور وہ این ڈی اے کے اشوک کمار یادو کو روک نہیں پائینگے اس لیے مدھوبنی کے عوام نے انسے یہاں سے انتخاب لڑنے کی درخواست کی ہے,0,0,1.0629628377500921e-07
4,ہاردک پٹیل نے لوک سبھا انتخابات سے قبل سر گرم سیاست میں داخلے کے لئے اپنے فیصلے کو حق بجانب قرار دیا اور کہا کہ اب وہ بہتر انداز میں ریاست کے چھے کروڑ عوام کے لئے کام کر سکیں گے,0,0,1.225678114558093e-09
5,وئی آپ کا بیک گڑاؤنڈ میوزک کونسا ہے پلیز ٹیل می,0,0,1.1187471926632497e-07
6,یا اللہ جس نے بھی سب بارات کی رات آپ کی عبادت میں گزاری یا اللہ تو ان سب کی دعاؤں کو قبول کرنا اور جو نہیں کر پائے انہیں ہدایات دینا اور انکی بھی مغفرت کرنا آمین,0,0,7.84402436693199e-06
7,کیا زینب کے قاتل کو بچانے کے لیے ملبہ ساحل پر ڈالنے کی کوئی مہم اسٹارٹ ہوئی ہے,1,0,0.03897442668676376
8,ٹھیک ہے نا بناؤ,0,0,0.009350311011075974
9,دہلی اور مدھیہ پردیش کے صدر تبدیل کردیئے گئے ہیں,0,0,1.0090815294461208e-08
10,لوگوں نے دو تین چیخیں کیا ماری آنٹی تو شاٹ ہی ہوگئی بی سی,1,0,0.0017425615806132555
11,محمد ادریس امیر حسین بہت لوگوں کو ملوا بھی دونگا,0,0,1.689432428975124e-05
12,کون کون آج مارچ میں بھی یہ بڑھیا سونگ سن رہا ہے,0,0,0.0002477966481819749
13,اس طرح کے اور ڈرامہ بھی بننے چاہیے,0,0,0.0013923648511990905
14,متعدد بار متنبہ کرنے کے باوجود بحرین شہری جو دو بچوں کا باپ بتایا جاتا ہے اسے ہراساں کرتا رہا اور آج خاتون کے گھر میں داخل ہوکر خود کو آگ لگالی جس کے باعث تینوں جھلس گئے,0,0,0.00015148257079999894
15,چھپ گئے سارے نظارے اوے کیا بات ہو گئی دل نے دل کو پکارا ملاقات ہو گئی,0,0,2.995670001837425e-05
16,مرس فاروقی کہاں گئی تیری مرسی,0,0,0.0002315327146789059
17,آئے گی جب سامنے چوم لونگا پیار سے حال دل کہہ دوں گا میں اس دیوانے یار سے پاس میرے آئے گی سن کے میری داستان میری نظروں سے بھلا جائیگی بچ کے کہا پہلے وہ شارماییجی پھر جاڑا گھابرااییجی مسکرا کر پھر میرے سینے سے لگ جائیگی آج پیلے بن میں تو پالچحین جھوم رہا ہوں اسکے خمار میں ہر موہن کی کوئی رادھا ہاں رے بنی ہے اس سنسار میں اس سنسار میں ملے نہ جب تک ناچینجی انتظار میں ناچینجی انتظار میں,0,0,1.7522336293041008e-07
18,لا لا لا لا لا لا,0,0,1.685542230234205e-07
19,مبصرین کا خیال ہے کہ فلسطین نیشنل قونصل کا اجلاس کوئی جوہری تبدیلی تو نہیں لائے گا تاہم اجلا میں ایگزیکٹو کمیٹی کے ‫ نئے ارکان کا انتخاب عمل میں لایا جا سکتا,0,0,1.565493013000463e-10
20,پردہ ہے پردہ ہے پردہ ہے پردہ ہے,0,0,0.021117720752954483
21,شانی گلیڈی ایٹرز ہر نیک شخص مرنے کے بعد بھی سوال کا جواب دیتا ہے اسکے لیے شہید ہونے کی شرط نہیں لیکن سلام کے اس جواب کو ہر کوئی سن نہیں سکتا سلام کرنے والے کو بھی اتنا ہی نیک ہونا پڑتا ہے,0,0,0.0004628892056643963
22,میں کسی کو جہاز پر سوار ہونے سے روک نہیں سکتا ہے لیکن انہیں یہ پیغام ضرور دے سکتا ہونکہ اگر انہیں کھلاڑیوں کے آس پاس دیکھا گیا تو دوبارہ باہر نکال دیا جائے گا ہم نے جن کی شناخت کی ہے انکی تصاویر اور معلومات ٹیموں پولیس اور برطانوی نیشنل کرائم ایجنسی کو فراہم کردی ہیں,0,0,3.0551283998647705e-05
23,ایم فرام پاکستان یہ سارے شو پلانٹڈ ہوتے ہیں بھائی جی ڈرامے بازی ہے ساری یہ,0,1,0.29876723885536194
24,کانگریس کے ترجمان رندیپ سجےوالا نے کہا کہ کانگریس نے فروری کے ویڈیو کو فروری کو جاری کیا تھا,0,0,5.326179689291166e-06
25,جب تک جیو کا لوگو ہے کبھی بھی نہیں جیتے گی,0,0,0.0003311150649096817
26,آپ نے کچھ کہا کیا,0,0,0.00015135218563955277
27,ڈی جی چھڈو بس کر فارغ آدمی,1,0,0.027877597138285637
28,رزلٹس دیکھیے ہمارے پیج پر,0,0,0.013847704976797104
29,بوفیرزون میں بزرگ گرمی کے باعث جاںبحق گرمی سے ہلاکتوں کی تعداد ہوگئی,0,0,1.5637227761544636e-06
30,برو نیکسٹ ویڈیو کا ٹائم باتیو کب اپلوڈ کروگے میں فرسٹ کمنٹ کرونگا پلیز,0,0,6.438826716248514e-08
31,صرف موقع ملنے کی بات ہے اگر یہ مسلسل ملتے رہے تو نتائج اور بہتر ہوں گے,0,0,4.081459337612614e-06
32,انشاء اللہ,0,0,0.0004305242619011551
33,اس ضمن میں بی جے پی نے لوک سبھا انتخابات کے تحت گجرات کے لیے آج اپنے اسٹار مشتہرین کی فہرست جاری کی ہے جس میں بی جے پی کے کئی بڑے بڑے لیڈروں کے نام شامل ہیں,0,0,1.2837978076440937e-11
34,بھائی میں نے خواب میں دو چاند دیکھا پھر اسکے بعد لال کلر کا چاند دیکھا پھر اسکے بعد آدھا چاند دیکھا اور اندھیری رات ہیں اسکے نیچے کالا پانی دیکھا مطلب بتاؤ پلیز پلیز,0,0,7.473080358977313e-07
35,ء میں شارخ خان خان اور غوری خان ایک اور بیٹے کے ایک والدین بنے جس کا نام انہوں نے ابراہم رکھا ہے,0,0,3.630635205809085e-07
36,اور انہیں اسباب میں سے ایک تقوی بھی ہے,0,0,4.596981568738556e-07
37,ابھی تک تو میں اس کی کوالٹی سے خوش ہوں اپنا اثر دیکھا رہی ہے اور مٹیریل بھی ابھی تک چل رہا ہے,0,0,1.7359661796945147e-06
38,سنوجی دلہن اب غور کروجی اپنے بڑے دیور سے ملوجی ماں کے دل کے یہ سرتاج شرمیلا جن کا انداز,0,0,0.0059012421406805515
39,اس پریس کے قیام کی بدولت انجمن کے لیے اپنی کتب کی اشاعت میں بہت آسانیاں پیدا ہو گئیں,0,0,0.0002893221681006253
40,عام انتخابات آنے چاہیے,0,0,4.902440559817478e-05
41,لعنت ہے اس ملک کے حکمرانوں پر,1,1,1.0
42,اس کے باوجود بھی ان فن پاروں کا کچھ بھی پتہ نہیں چلا,0,0,0.008716437965631485
43,راہی مانوا دکھ کی چنتا کیوں ستاتی ہے دکھ تو اپنا ساتھی ہے سکھ ہے ایک چھاوں ڈھلتی آتی ہے جاتی ہے دکھ تو اپنا ساتھی ہے,0,0,6.923661567270756e-05
44,جیسے جی اسے پڑھنا لکھنا آگیا وہ خود خطوط لکھنے لگی,0,0,6.225985271157697e-05
45,صبح روٹی نہیں ملی گرل,0,0,0.05566276237368584
46,ہاہاہاہا ہیوی ہو گیا یار,0,0,0.0008163211168721318
47,یہ والے کو کیا ہوا ہے,0,0,0.00201740232296288
48,جیالوں کی ماں بہن ٹھوک ٹھوک کر سالے نے اپنی ٹانگیں توڑ دیں ہیں,1,1,0.9992768168449402
49,آج کل روز ہے مےخانے میں آنا جانا تم کو ساقی سے ملا دینگے تم آؤ تو سہی,0,0,1.0780187039927114e-05
50,راجہ توصیف بھائی آپ کتنا کچھ جانتے ہے ماشاء اللہ اور آپ یہ بھی جانتے ہونگے قرآن ہے قرآن نہیں ہمیں بہت عزت کرنی چاہیے اپنے ریلیجین کی اللہ آپ کو اور ہمیں اپنے دین پر چلنے کی توفیق دے آمین ثم آمین,0,0,9.319777745986357e-06
51,سر سید کی دور اندیش نگاہوں نے مولوی عبد الحق میں وہ سب کچھ پا لیا جسے وہ دیکھنا چاہتے تھے,0,0,1.397927995583359e-08
52,میل ہم تمہارے ہیں تمہارے صنم ز جان من محبت کی ہر قسم کی قسم نہ جدا ہوں گے ہم,0,0,4.833116684643812e-10
53,ادبھت روپ یہ کیا بھاری مہیما بڑی ہے درشن کی پربھو مہیما بڑی ہے درشن کی بن مانگے پوری ہو جائے جو بھی اچھا ہو من کی پربھو جو بھی اچھا ہو من کی,0,0,7.865885709179565e-05
54,ارے امید عمران خان,0,0,1.875191060207726e-06
55,تدریس کا شعبہ چھوڑنے کے بعد آپ نے لکھنے کو اپنا مستقل ذریعہ معاش بنایا اور کئی ناول اور افسانوی مجموعے لکھے,0,0,0.00019203827832825482
56,تھینکس بھائی,0,0,6.8835259980915e-07
57,شادی مبارک سچولارشپ اور اردو زبان کی ترقی او ترویج اور حوججاج کی فاعلہ او بہبود سے ان کو گہری دلچسپی ہے اور وہ اس تعلق سے خصوصی اقدامات کر رہے ہیں,0,0,7.509287388529629e-05
58,کونسے کلر میں چاہیے,0,0,0.0011722511844709516
59,جھجوکی جھکی نگاہ میں بلا کی شوخیاں چھپی کھلی کھلی لاتوں میں بھی ہے گھٹا کی ماستیاں رکی یہ ھیا یہ ادا یہ حسین یہ نیان دے گیا دے گیا میٹھی میٹھی چبھن سنو و پریا میں نے تم کو دل دیا,0,0,3.1881322115623334e-07
60,تیرا پتی پھاڑ دیگا,1,1,0.48477768898010254
61,ہم چپ رہتے ہیں کوی کھاتے نا ہو جاییبحولی سے ہم سے کوی کھاتا نا ہو جاییباری مشکل سے بنا ہے کوی اپنادار لگتا ہا کہیں جڑی نا ہو جائے,0,0,0.0001259604177903384
62,لیکن آنٹی نے پاتاخ کر دی ہے,0,0,8.391469600610435e-05
