comment_indices,comment_text,comment_label,comment_predicted,comment_prob
0,شہر کو صاف ستھرا بنانے میں نوجوانوں کی شراکت,0,0,4.6417601519112866e-05
1,ہاہاہا ہاہاہا ہاہاہا پاگل کا بچہ,1,1,0.9899063108937078
2,ایگزیکٹلی یہاں کبھی گنہگار کو سزا نہیں ہوتی ان سب کو سزا دو,1,0,0.051778658319952243
3,ماہا گٹھ بندھن کے امید وار کا حوالہ دیتے ہوئے احمد نے کہا تھا کہہ امیدوار کمزور ہے اور وہ این ڈی اے کے اشوک کمار یادو کو روک نہیں پائینگے اس لیے مدھوبنی کے عوام نے انسے یہاں سے انتخاب لڑنے کی درخواست کی ہے,0,0,6.286354835434843e-15
4,ہاردک پٹیل نے لوک سبھا انتخابات سے قبل سر گرم سیاست میں داخلے کے لئے اپنے فیصلے کو حق بجانب قرار دیا اور کہا کہ اب وہ بہتر انداز میں ریاست کے چھے کروڑ عوام کے لئے کام کر سکیں گے,0,0,6.146533151639719e-23
5,وئی آپ کا بیک گڑاؤنڈ میوزک کونسا ہے پلیز ٹیل می,0,0,0.06434977631089292
6,یا اللہ جس نے بھی سب بارات کی رات آپ کی عبادت میں گزاری یا اللہ تو ان سب کی دعاؤں کو قبول کرنا اور جو نہیں کر پائے انہیں ہدایات دینا اور انکی بھی مغفرت کرنا آمین,0,0,1.0996691436840702e-11
7,کیا زینب کے قاتل کو بچانے کے لیے ملبہ ساحل پر ڈالنے کی کوئی مہم اسٹارٹ ہوئی ہے,1,0,0.0016711107468428377
8,ٹھیک ہے نا بناؤ,0,0,0.5680256636154847
9,دہلی اور مدھیہ پردیش کے صدر تبدیل کردیئے گئے ہیں,0,0,2.0732354351227304e-08
10,لوگوں نے دو تین چیخیں کیا ماری آنٹی تو شاٹ ہی ہوگئی بی سی,1,1,0.9638848110786267
11,محمد ادریس امیر حسین بہت لوگوں کو ملوا بھی دونگا,0,0,0.5713817803044536
12,کون کون آج مارچ میں بھی یہ بڑھیا سونگ سن رہا ہے,0,0,0.005457398337256851
