comment_indices,comment_text,comment_label,comment_predicted,comment_prob
0,شہر کو صاف ستھرا بنانے میں نوجوانوں کی شراکت,0,[0],[0.06953024864196777]
1,ہاہاہا ہاہاہا ہاہاہا پاگل کا بچہ,1,[1],[0.4773724377155304]
2,ایگزیکٹلی یہاں کبھی گنہگار کو سزا نہیں ہوتی ان سب کو سزا دو,1,[0],[0.14845310151576996]
3,ماہا گٹھ بندھن کے امید وار کا حوالہ دیتے ہوئے احمد نے کہا تھا کہہ امیدوار کمزور ہے اور وہ این ڈی اے کے اشوک کمار یادو کو روک نہیں پائینگے اس لیے مدھوبنی کے عوام نے انسے یہاں سے انتخاب لڑنے کی درخواست کی ہے,0,[0],[0.050247784703969955]
4,ہاردک پٹیل نے لوک سبھا انتخابات سے قبل سر گرم سیاست میں داخلے کے لئے اپنے فیصلے کو حق بجانب قرار دیا اور کہا کہ اب وہ بہتر انداز میں ریاست کے چھے کروڑ عوام کے لئے کام کر سکیں گے,0,[0],[0.022514518350362778]
5,وئی آپ کا بیک گڑاؤنڈ میوزک کونسا ہے پلیز ٹیل می,0,[0],[0.07616495341062546]
6,یا اللہ جس نے بھی سب بارات کی رات آپ کی عبادت میں گزاری یا اللہ تو ان سب کی دعاؤں کو قبول کرنا اور جو نہیں کر پائے انہیں ہدایات دینا اور انکی بھی مغفرت کرنا آمین,0,[0],[0.05481474846601486]
7,کیا زینب کے قاتل کو بچانے کے لیے ملبہ ساحل پر ڈالنے کی کوئی مہم اسٹارٹ ہوئی ہے,1,[0],[0.1411455273628235]
8,ٹھیک ہے نا بناؤ,0,[0],[0.2066977471113205]
9,دہلی اور مدھیہ پردیش کے صدر تبدیل کردیئے گئے ہیں,0,[0],[0.04520615190267563]
10,لوگوں نے دو تین چیخیں کیا ماری آنٹی تو شاٹ ہی ہوگئی بی سی,1,[1],[0.5209494829177856]
11,محمد ادریس امیر حسین بہت لوگوں کو ملوا بھی دونگا,0,[0],[0.15700989961624146]
12,کون کون آج مارچ میں بھی یہ بڑھیا سونگ سن رہا ہے,0,[0],[0.15431095659732819]
13,اس طرح کے اور ڈرامہ بھی بننے چاہیے,0,[0],[0.26220208406448364]
14,متعدد بار متنبہ کرنے کے باوجود بحرین شہری جو دو بچوں کا باپ بتایا جاتا ہے اسے ہراساں کرتا رہا اور آج خاتون کے گھر میں داخل ہوکر خود کو آگ لگالی جس کے باعث تینوں جھلس گئے,0,[0],[0.038788944482803345]
15,چھپ گئے سارے نظارے اوے کیا بات ہو گئی دل نے دل کو پکارا ملاقات ہو گئی,0,[0],[0.038365043699741364]
16,مرس فاروقی کہاں گئی تیری مرسی,0,[0],[0.19599732756614685]
17,آئے گی جب سامنے چوم لونگا پیار سے حال دل کہہ دوں گا میں اس دیوانے یار سے پاس میرے آئے گی سن کے میری داستان میری نظروں سے بھلا جائیگی بچ کے کہا پہلے وہ شارماییجی پھر جاڑا گھابرااییجی مسکرا کر پھر میرے سینے سے لگ جائیگی آج پیلے بن میں تو پالچحین جھوم رہا ہوں اسکے خمار میں ہر موہن کی کوئی رادھا ہاں رے بنی ہے اس سنسار میں اس سنسار میں ملے نہ جب تک ناچینجی انتظار میں ناچینجی انتظار میں,0,[0],[0.031709473580121994]
18,لا لا لا لا لا لا,0,[0],[0.13415776193141937]
19,مبصرین کا خیال ہے کہ فلسطین نیشنل قونصل کا اجلاس کوئی جوہری تبدیلی تو نہیں لائے گا تاہم اجلا میں ایگزیکٹو کمیٹی کے ‫ نئے ارکان کا انتخاب عمل میں لایا جا سکتا,0,[0],[0.018412774428725243]
20,پردہ ہے پردہ ہے پردہ ہے پردہ ہے,0,[0],[0.05238386616110802]
21,شانی گلیڈی ایٹرز ہر نیک شخص مرنے کے بعد بھی سوال کا جواب دیتا ہے اسکے لیے شہید ہونے کی شرط نہیں لیکن سلام کے اس جواب کو ہر کوئی سن نہیں سکتا سلام کرنے والے کو بھی اتنا ہی نیک ہونا پڑتا ہے,0,[0],[0.20671378076076508]
