comment_indices,comment_text,comment_label,comment_predicted,comment_prob
0,شہر کو صاف ستھرا بنانے میں نوجوانوں کی شراکت,0,[0],[0.00013076730829197913]
1,ہاہاہا ہاہاہا ہاہاہا پاگل کا بچہ,1,[0],[0.283840149641037]
2,ایگزیکٹلی یہاں کبھی گنہگار کو سزا نہیں ہوتی ان سب کو سزا دو,1,[0],[0.0004674599040299654]
3,ماہا گٹھ بندھن کے امید وار کا حوالہ دیتے ہوئے احمد نے کہا تھا کہہ امیدوار کمزور ہے اور وہ این ڈی اے کے اشوک کمار یادو کو روک نہیں پائینگے اس لیے مدھوبنی کے عوام نے انسے یہاں سے انتخاب لڑنے کی درخواست کی ہے,0,[0],[2.3172577130026184e-05]
4,ہاردک پٹیل نے لوک سبھا انتخابات سے قبل سر گرم سیاست میں داخلے کے لئے اپنے فیصلے کو حق بجانب قرار دیا اور کہا کہ اب وہ بہتر انداز میں ریاست کے چھے کروڑ عوام کے لئے کام کر سکیں گے,0,[0],[1.0463913469038744e-07]
5,وئی آپ کا بیک گڑاؤنڈ میوزک کونسا ہے پلیز ٹیل می,0,[0],[3.881992961396463e-05]
6,یا اللہ جس نے بھی سب بارات کی رات آپ کی عبادت میں گزاری یا اللہ تو ان سب کی دعاؤں کو قبول کرنا اور جو نہیں کر پائے انہیں ہدایات دینا اور انکی بھی مغفرت کرنا آمین,0,[0],[2.4409078832832165e-05]
7,کیا زینب کے قاتل کو بچانے کے لیے ملبہ ساحل پر ڈالنے کی کوئی مہم اسٹارٹ ہوئی ہے,1,[0],[0.0003042495809495449]
8,ٹھیک ہے نا بناؤ,0,[0],[0.0012630083365365863]
9,دہلی اور مدھیہ پردیش کے صدر تبدیل کردیئے گئے ہیں,0,[0],[4.330942829255946e-06]
10,لوگوں نے دو تین چیخیں کیا ماری آنٹی تو شاٹ ہی ہوگئی بی سی,1,[1],[0.8903352618217468]
11,محمد ادریس امیر حسین بہت لوگوں کو ملوا بھی دونگا,0,[0],[7.81486596679315e-05]
12,کون کون آج مارچ میں بھی یہ بڑھیا سونگ سن رہا ہے,0,[0],[0.0002247962838737294]
13,اس طرح کے اور ڈرامہ بھی بننے چاہیے,0,[0],[0.0031902696937322617]
14,متعدد بار متنبہ کرنے کے باوجود بحرین شہری جو دو بچوں کا باپ بتایا جاتا ہے اسے ہراساں کرتا رہا اور آج خاتون کے گھر میں داخل ہوکر خود کو آگ لگالی جس کے باعث تینوں جھلس گئے,0,[0],[4.5172269892646e-05]
15,چھپ گئے سارے نظارے اوے کیا بات ہو گئی دل نے دل کو پکارا ملاقات ہو گئی,0,[0],[1.4213725989975501e-05]
16,مرس فاروقی کہاں گئی تیری مرسی,0,[0],[0.004592047538608313]
17,آئے گی جب سامنے چوم لونگا پیار سے حال دل کہہ دوں گا میں اس دیوانے یار سے پاس میرے آئے گی سن کے میری داستان میری نظروں سے بھلا جائیگی بچ کے کہا پہلے وہ شارماییجی پھر جاڑا گھابرااییجی مسکرا کر پھر میرے سینے سے لگ جائیگی آج پیلے بن میں تو پالچحین جھوم رہا ہوں اسکے خمار میں ہر موہن کی کوئی رادھا ہاں رے بنی ہے اس سنسار میں اس سنسار میں ملے نہ جب تک ناچینجی انتظار میں ناچینجی انتظار میں,0,[0],[2.593859790067654e-05]
18,لا لا لا لا لا لا,0,[0],[0.00011735137377399951]
19,مبصرین کا خیال ہے کہ فلسطین نیشنل قونصل کا اجلاس کوئی جوہری تبدیلی تو نہیں لائے گا تاہم اجلا میں ایگزیکٹو کمیٹی کے ‫ نئے ارکان کا انتخاب عمل میں لایا جا سکتا,0,[0],[6.62947570617689e-07]
20,پردہ ہے پردہ ہے پردہ ہے پردہ ہے,0,[0],[2.0539691831800155e-05]
21,شانی گلیڈی ایٹرز ہر نیک شخص مرنے کے بعد بھی سوال کا جواب دیتا ہے اسکے لیے شہید ہونے کی شرط نہیں لیکن سلام کے اس جواب کو ہر کوئی سن نہیں سکتا سلام کرنے والے کو بھی اتنا ہی نیک ہونا پڑتا ہے,0,[0],[0.006415658630430698]
22,میں کسی کو جہاز پر سوار ہونے سے روک نہیں سکتا ہے لیکن انہیں یہ پیغام ضرور دے سکتا ہونکہ اگر انہیں کھلاڑیوں کے آس پاس دیکھا گیا تو دوبارہ باہر نکال دیا جائے گا ہم نے جن کی شناخت کی ہے انکی تصاویر اور معلومات ٹیموں پولیس اور برطانوی نیشنل کرائم ایجنسی کو فراہم کردی ہیں,0,[0],[2.2882137272972614e-05]
23,ایم فرام پاکستان یہ سارے شو پلانٹڈ ہوتے ہیں بھائی جی ڈرامے بازی ہے ساری یہ,0,[0],[0.07060862332582474]
24,کانگریس کے ترجمان رندیپ سجےوالا نے کہا کہ کانگریس نے فروری کے ویڈیو کو فروری کو جاری کیا تھا,0,[0],[6.583795038750395e-05]
25,جب تک جیو کا لوگو ہے کبھی بھی نہیں جیتے گی,0,[0],[0.011756855063140392]
26,آپ نے کچھ کہا کیا,0,[0],[0.0005187675706110895]
27,ڈی جی چھڈو بس کر فارغ آدمی,1,[0],[0.05763683468103409]
28,رزلٹس دیکھیے ہمارے پیج پر,0,[0],[3.17587582685519e-05]
29,بوفیرزون میں بزرگ گرمی کے باعث جاںبحق گرمی سے ہلاکتوں کی تعداد ہوگئی,0,[0],[6.352848868118599e-05]
30,برو نیکسٹ ویڈیو کا ٹائم باتیو کب اپلوڈ کروگے میں فرسٹ کمنٹ کرونگا پلیز,0,[0],[0.0001755168050294742]
31,صرف موقع ملنے کی بات ہے اگر یہ مسلسل ملتے رہے تو نتائج اور بہتر ہوں گے,0,[0],[1.7031845345627517e-05]
32,انشاء اللہ,0,[0],[0.0011565572349354625]
33,اس ضمن میں بی جے پی نے لوک سبھا انتخابات کے تحت گجرات کے لیے آج اپنے اسٹار مشتہرین کی فہرست جاری کی ہے جس میں بی جے پی کے کئی بڑے بڑے لیڈروں کے نام شامل ہیں,0,[0],[4.678904304000753e-07]
34,بھائی میں نے خواب میں دو چاند دیکھا پھر اسکے بعد لال کلر کا چاند دیکھا پھر اسکے بعد آدھا چاند دیکھا اور اندھیری رات ہیں اسکے نیچے کالا پانی دیکھا مطلب بتاؤ پلیز پلیز,0,[0],[0.0002111613139277324]
35,ء میں شارخ خان خان اور غوری خان ایک اور بیٹے کے ایک والدین بنے جس کا نام انہوں نے ابراہم رکھا ہے,0,[0],[2.115190181939397e-05]
36,اور انہیں اسباب میں سے ایک تقوی بھی ہے,0,[0],[0.0004547043063212186]
37,ابھی تک تو میں اس کی کوالٹی سے خوش ہوں اپنا اثر دیکھا رہی ہے اور مٹیریل بھی ابھی تک چل رہا ہے,0,[0],[0.003496372140944004]
38,سنوجی دلہن اب غور کروجی اپنے بڑے دیور سے ملوجی ماں کے دل کے یہ سرتاج شرمیلا جن کا انداز,0,[0],[0.0010906205279752612]
39,اس پریس کے قیام کی بدولت انجمن کے لیے اپنی کتب کی اشاعت میں بہت آسانیاں پیدا ہو گئیں,0,[0],[0.0005733334692195058]
40,عام انتخابات آنے چاہیے,0,[0],[6.618921361223329e-06]
41,لعنت ہے اس ملک کے حکمرانوں پر,1,[1],[0.9968008995056152]
42,اس کے باوجود بھی ان فن پاروں کا کچھ بھی پتہ نہیں چلا,0,[0],[6.205777754075825e-05]
43,راہی مانوا دکھ کی چنتا کیوں ستاتی ہے دکھ تو اپنا ساتھی ہے سکھ ہے ایک چھاوں ڈھلتی آتی ہے جاتی ہے دکھ تو اپنا ساتھی ہے,0,[0],[0.00020601584401447326]
44,جیسے جی اسے پڑھنا لکھنا آگیا وہ خود خطوط لکھنے لگی,0,[0],[0.00020395952742546797]
45,صبح روٹی نہیں ملی گرل,0,[0],[0.006842688657343388]
46,ہاہاہاہا ہیوی ہو گیا یار,0,[0],[0.0013137782225385308]
47,یہ والے کو کیا ہوا ہے,0,[0],[0.011595509015023708]
48,جیالوں کی ماں بہن ٹھوک ٹھوک کر سالے نے اپنی ٹانگیں توڑ دیں ہیں,1,[1],[0.9901878237724304]
49,آج کل روز ہے مےخانے میں آنا جانا تم کو ساقی سے ملا دینگے تم آؤ تو سہی,0,[0],[0.054886624217033386]
50,راجہ توصیف بھائی آپ کتنا کچھ جانتے ہے ماشاء اللہ اور آپ یہ بھی جانتے ہونگے قرآن ہے قرآن نہیں ہمیں بہت عزت کرنی چاہیے اپنے ریلیجین کی اللہ آپ کو اور ہمیں اپنے دین پر چلنے کی توفیق دے آمین ثم آمین,0,[0],[6.318886880762875e-05]
51,سر سید کی دور اندیش نگاہوں نے مولوی عبد الحق میں وہ سب کچھ پا لیا جسے وہ دیکھنا چاہتے تھے,0,[0],[9.203056833939627e-05]
52,میل ہم تمہارے ہیں تمہارے صنم ز جان من محبت کی ہر قسم کی قسم نہ جدا ہوں گے ہم,0,[0],[2.468532693455927e-05]
53,ادبھت روپ یہ کیا بھاری مہیما بڑی ہے درشن کی پربھو مہیما بڑی ہے درشن کی بن مانگے پوری ہو جائے جو بھی اچھا ہو من کی پربھو جو بھی اچھا ہو من کی,0,[0],[0.0005338622722774744]
54,ارے امید عمران خان,0,[0],[0.000785200041718781]
55,تدریس کا شعبہ چھوڑنے کے بعد آپ نے لکھنے کو اپنا مستقل ذریعہ معاش بنایا اور کئی ناول اور افسانوی مجموعے لکھے,0,[0],[1.1216951861570124e-05]
56,تھینکس بھائی,0,[0],[0.0006800000555813313]
57,شادی مبارک سچولارشپ اور اردو زبان کی ترقی او ترویج اور حوججاج کی فاعلہ او بہبود سے ان کو گہری دلچسپی ہے اور وہ اس تعلق سے خصوصی اقدامات کر رہے ہیں,0,[0],[8.109211194096133e-05]
58,کونسے کلر میں چاہیے,0,[0],[0.00014462127001024783]
59,جھجوکی جھکی نگاہ میں بلا کی شوخیاں چھپی کھلی کھلی لاتوں میں بھی ہے گھٹا کی ماستیاں رکی یہ ھیا یہ ادا یہ حسین یہ نیان دے گیا دے گیا میٹھی میٹھی چبھن سنو و پریا میں نے تم کو دل دیا,0,[0],[0.00264551374129951]
60,تیرا پتی پھاڑ دیگا,1,[1],[0.9905288815498352]
61,ہم چپ رہتے ہیں کوی کھاتے نا ہو جاییبحولی سے ہم سے کوی کھاتا نا ہو جاییباری مشکل سے بنا ہے کوی اپنادار لگتا ہا کہیں جڑی نا ہو جائے,0,[0],[0.010035982355475426]
62,لیکن آنٹی نے پاتاخ کر دی ہے,0,[0],[0.005302223842591047]
63,جب سٹیون اسکول میں تھے تو اپنی عمر چھپاتے ہوئے انہوں نے ایک ایسے ریسٹورانٹ میں برتن دھونے کا کام شروع کر دیا جہاں کا ایک کک مارشل آرٹ کے ماہر تھے,0,[0],[0.0006262455135583878]
64,اللہ ہدایت دے,0,[0],[0.0019668233580887318]
65,بلال صاحب کو ہو بی سی,1,[1],[0.9559425115585327]
66,او چل تیری ماں چودوں کتی کے بچے پاکستان کی مذاق اڑا رہا ہے ماں کے لنڈ,1,[1],[0.9996944665908813]
67,پاکستان کے مشہور موسیقار اور لازوال دھنون کے خالق دسمبر میں ممبئی کے ضلع خندیس کے صدر مقام جل گاؤں میں پیدا ہوئے,0,[0],[1.578894443809986e-05]
68,میں نے دیکھا کی میرے ہسبنڈ مجھے بالٹی میں پانی لانے کو کہہ رہےتھے فر وہ خود ہی بالٹی میں پانی بھرنےلگے ٹپ سے اسکی کیا تعبیر ہے پلیز بتادیں مجھے,0,[0],[1.066841718966316e-06]
69,بوائے دل میں جذبات ہیں ہاتھوں میں ہاتھ ہے,0,[0],[5.323281584423967e-05]
70,ابتدائی جانچ میں پتا چلا کہ یہ جہیز کا معاملہ ہے,0,[0],[7.816126526449807e-06]
71,ایک خود ساختہ گودمان داتی مہاراج کے خلاف نیو دہلی میں ایک خاتون معتقد کی مبینہ عصمت ریزی کرنے کے الزام میں مقدمہ درج کیا گیا,0,[0],[2.754720526354504e-06]
72,سیریسلی یہ ہم اسلامیات کے لیکچر میں ہوتے اور پریویس سمسٹر میں پاک اسٹیڈز,0,[0],[0.00033462487044744194]
73,الاظہار کا کہنا ہے کہ اسرائیلی پارلیمنٹ سے منظور ہونے والا قانون صہیونی ریاست کی نسل پرستانہ پالیسی اور غیر یہودیوں کے ساتھ بغض وہ عناد کا واضح ثبوت ہے,0,[0],[2.3956843506311998e-05]
74,تو چیز بڑی ہے مست مست تو چیز بڑی ہے مست نہیں تجھ کو کوئی ہوش ہوش اس پر جوبن کا جوش جوش نہیں تیرا کوئی دوش دوش مدھوش ہے تو ہر وقت وقت تو چیز بڑی ہے مست مست,0,[0],[4.9639370445220266e-06]
75,میں نے خواب دیکھا ہے کہ اک سانپ ہوتا ہے مجھ سے بہت پیار کرتا ہے بس میرا اشک ہوتا ہے اور پر اک بلی ہوتی ہے وہ میرے اور میرے بھائی کے پیچھے پڑی ہوتی ہے بس ہم کو نہیں چھوڑتی پھر باتھ روم جاتی اور فلیش کے بیچے اک صاف پانی ہوتا ہے اور اس میں یہی سانپ ہوتا ہے اور میں اسکو کہتی ہوں جاؤ میرے بھائی کو بچاؤ پھر وہ ان سے لڑتا ہے میرے بھائی کو بچا لیتا ہے پلیز اسکی تعبیر مجھے ضرور باتیں پلیز پلیز,0,[0],[2.0362505892990157e-05]
76,سینیر ساتھی ہونے کے ناتے حولدار لالک جان شہید نے اپنے ساتھیوں کی کمان سنبھال لی اور انہیں ہدایت کی کے وہ کسی ایک جگہ رکے بغیر مسلسل فائرنگ کرتے رہیں,0,[0],[1.0086322618008126e-05]
77,شعر علی حانجی ماشاءاللہ بہت ہے لیکن ہم انڈینز کو اک اور چیز سکھائی جاتی ہے انکاریجمنٹ,0,[0],[0.00026266570785082877]
78,نواز شریف شہباز شریف سپریم کورٹ کے ججوں کے کاندھے پہ رکھ کر ہی گولی ماریں گے ایپملائیز کو موجودہ تمام ججز چوہدری افتخار کی باقیات ہیں یو آر ای چوہدری نواز شریف کی پٹھو نے نواز نے ہی ان کو بحال کروایا تھا اسی لیے یہ اپنے آقا کی ہر بات کو مانتے ہیں,1,[0],[0.314242959022522]
79,ہوگی لیلی ہوگی سوہنی ہوگی کوئی ہیر تیری صورت جیسی دیکھی نہیں کوئی تصویر میرے خوابوں کی شہزادی میں ہوں تیری غلام چند کہوں پھول کہوں,0,[0],[2.347677764191758e-05]
80,ہوش سے کام لو سب مسلمانوں اسلام گالی کی اجازت نہیں دیتا,0,[0],[2.75122765742708e-05]
81,میری عادتیں خراب ہو رہی ہیں آپ کی وجہ سے,1,[0],[0.005204751621931791]
82,لالہ از گریٹ مین,0,[0],[0.00028940881020389497]
83,آئی لافڈ سو ڈیم مچ آن,0,[0],[0.001387039665132761]
84,عثمان خان اس میں عمران خان کا کیا کام ہے بورڈ میں,0,[0],[0.00010591546015348285]
85,مت بھول ارے انسان مت بھول ارے انسان تیری نیکی بڑی نہیں اسے چھپی سب دیکھ رہا بھگوان مت بھول ارے انسان,0,[0],[0.008732764050364494]
86,اینڈ مرلہ پلاٹس آر فور سیل نیئر شیوہ اڈا صوابی,0,[0],[0.00012010418868158013]
87,نبی والا کام ہے,0,[0],[0.0019234290812164545]
88,خیر مبارک مرشد جی اور تمام ساتھیوں کو عید مبارک,0,[0],[4.507415724219754e-06]
89,جی بند کیا جائے,1,[0],[0.03041880950331688]
90,کیا جانیے کہاں سے آتی ہے کانوں میں سدا ہیں دیوانے غم تیرا سب سے جدا اس محفل سے اٹھا دل نہ بہلے گا یہ متولا,0,[0],[7.145627478166716e-06]
91,یہ کتا بوک را ہے حرامی کتا تم لوگوں کو انڈیا میں گھس کر مار گا سالو جا پاکستان آرمی زندہ باد آئی ایس آئی زندہ باد,1,[1],[0.9989757537841797]
92,کمارا سوامیکو کل شام ریاستی سیکریٹریئیت ویدھن سودھا کے روبرو گورنر مسٹر,0,[0],[3.100401227129623e-05]
