comment_indices,comment_text,comment_label,comment_predicted,comment_prob
0,شہر کو صاف ستھرا بنانے میں نوجوانوں کی شراکت,0,0,0.0008107148460112512
1,ہاہاہا ہاہاہا ہاہاہا پاگل کا بچہ,1,1,0.6461053490638733
2,ایگزیکٹلی یہاں کبھی گنہگار کو سزا نہیں ہوتی ان سب کو سزا دو,1,0,0.001567946863360703
3,ماہا گٹھ بندھن کے امید وار کا حوالہ دیتے ہوئے احمد نے کہا تھا کہہ امیدوار کمزور ہے اور وہ این ڈی اے کے اشوک کمار یادو کو روک نہیں پائینگے اس لیے مدھوبنی کے عوام نے انسے یہاں سے انتخاب لڑنے کی درخواست کی ہے,0,0,0.0005787045229226351
4,ہاردک پٹیل نے لوک سبھا انتخابات سے قبل سر گرم سیاست میں داخلے کے لئے اپنے فیصلے کو حق بجانب قرار دیا اور کہا کہ اب وہ بہتر انداز میں ریاست کے چھے کروڑ عوام کے لئے کام کر سکیں گے,0,0,0.00011730921687558293
5,وئی آپ کا بیک گڑاؤنڈ میوزک کونسا ہے پلیز ٹیل می,0,0,0.0009483800386078656
6,یا اللہ جس نے بھی سب بارات کی رات آپ کی عبادت میں گزاری یا اللہ تو ان سب کی دعاؤں کو قبول کرنا اور جو نہیں کر پائے انہیں ہدایات دینا اور انکی بھی مغفرت کرنا آمین,0,0,0.0007099484209902585
7,کیا زینب کے قاتل کو بچانے کے لیے ملبہ ساحل پر ڈالنے کی کوئی مہم اسٹارٹ ہوئی ہے,1,0,0.0027683458756655455
8,ٹھیک ہے نا بناؤ,0,0,0.016818998381495476
9,دہلی اور مدھیہ پردیش کے صدر تبدیل کردیئے گئے ہیں,0,0,0.00036845298018306494
10,لوگوں نے دو تین چیخیں کیا ماری آنٹی تو شاٹ ہی ہوگئی بی سی,1,1,0.8439949750900269
11,محمد ادریس امیر حسین بہت لوگوں کو ملوا بھی دونگا,0,0,0.02855084277689457
12,کون کون آج مارچ میں بھی یہ بڑھیا سونگ سن رہا ہے,0,0,0.0015319706872105598
13,اس طرح کے اور ڈرامہ بھی بننے چاہیے,0,0,0.029250765219330788
14,متعدد بار متنبہ کرنے کے باوجود بحرین شہری جو دو بچوں کا باپ بتایا جاتا ہے اسے ہراساں کرتا رہا اور آج خاتون کے گھر میں داخل ہوکر خود کو آگ لگالی جس کے باعث تینوں جھلس گئے,0,0,0.0003895621048286557
15,چھپ گئے سارے نظارے اوے کیا بات ہو گئی دل نے دل کو پکارا ملاقات ہو گئی,0,0,0.0007103796233423054
16,مرس فاروقی کہاں گئی تیری مرسی,0,0,0.24583016335964203
17,آئے گی جب سامنے چوم لونگا پیار سے حال دل کہہ دوں گا میں اس دیوانے یار سے پاس میرے آئے گی سن کے میری داستان میری نظروں سے بھلا جائیگی بچ کے کہا پہلے وہ شارماییجی پھر جاڑا گھابرااییجی مسکرا کر پھر میرے سینے سے لگ جائیگی آج پیلے بن میں تو پالچحین جھوم رہا ہوں اسکے خمار میں ہر موہن کی کوئی رادھا ہاں رے بنی ہے اس سنسار میں اس سنسار میں ملے نہ جب تک ناچینجی انتظار میں ناچینجی انتظار میں,0,0,0.0001535682677058503
18,لا لا لا لا لا لا,0,0,0.0012360858963802457
19,مبصرین کا خیال ہے کہ فلسطین نیشنل قونصل کا اجلاس کوئی جوہری تبدیلی تو نہیں لائے گا تاہم اجلا میں ایگزیکٹو کمیٹی کے ‫ نئے ارکان کا انتخاب عمل میں لایا جا سکتا,0,0,0.00014314475993160158
20,پردہ ہے پردہ ہے پردہ ہے پردہ ہے,0,0,0.0010863319039344788
21,شانی گلیڈی ایٹرز ہر نیک شخص مرنے کے بعد بھی سوال کا جواب دیتا ہے اسکے لیے شہید ہونے کی شرط نہیں لیکن سلام کے اس جواب کو ہر کوئی سن نہیں سکتا سلام کرنے والے کو بھی اتنا ہی نیک ہونا پڑتا ہے,0,0,0.024859998375177383
22,میں کسی کو جہاز پر سوار ہونے سے روک نہیں سکتا ہے لیکن انہیں یہ پیغام ضرور دے سکتا ہونکہ اگر انہیں کھلاڑیوں کے آس پاس دیکھا گیا تو دوبارہ باہر نکال دیا جائے گا ہم نے جن کی شناخت کی ہے انکی تصاویر اور معلومات ٹیموں پولیس اور برطانوی نیشنل کرائم ایجنسی کو فراہم کردی ہیں,0,0,0.00045538187259808183
23,ایم فرام پاکستان یہ سارے شو پلانٹڈ ہوتے ہیں بھائی جی ڈرامے بازی ہے ساری یہ,0,0,0.04931885376572609
24,کانگریس کے ترجمان رندیپ سجےوالا نے کہا کہ کانگریس نے فروری کے ویڈیو کو فروری کو جاری کیا تھا,0,0,0.0006288428558036685
25,جب تک جیو کا لوگو ہے کبھی بھی نہیں جیتے گی,0,0,0.017017407342791557
26,آپ نے کچھ کہا کیا,0,0,0.015424116514623165
27,ڈی جی چھڈو بس کر فارغ آدمی,1,0,0.30971449613571167
28,رزلٹس دیکھیے ہمارے پیج پر,0,0,0.005000030621886253
29,بوفیرزون میں بزرگ گرمی کے باعث جاںبحق گرمی سے ہلاکتوں کی تعداد ہوگئی,0,0,0.0008276539156213403
30,برو نیکسٹ ویڈیو کا ٹائم باتیو کب اپلوڈ کروگے میں فرسٹ کمنٹ کرونگا پلیز,0,0,0.002512682229280472
31,صرف موقع ملنے کی بات ہے اگر یہ مسلسل ملتے رہے تو نتائج اور بہتر ہوں گے,0,0,0.0004506406548898667
32,انشاء اللہ,0,0,0.02068450301885605
33,اس ضمن میں بی جے پی نے لوک سبھا انتخابات کے تحت گجرات کے لیے آج اپنے اسٹار مشتہرین کی فہرست جاری کی ہے جس میں بی جے پی کے کئی بڑے بڑے لیڈروں کے نام شامل ہیں,0,0,0.00011386835103621706
34,بھائی میں نے خواب میں دو چاند دیکھا پھر اسکے بعد لال کلر کا چاند دیکھا پھر اسکے بعد آدھا چاند دیکھا اور اندھیری رات ہیں اسکے نیچے کالا پانی دیکھا مطلب بتاؤ پلیز پلیز,0,0,0.0005785710527561605
35,ء میں شارخ خان خان اور غوری خان ایک اور بیٹے کے ایک والدین بنے جس کا نام انہوں نے ابراہم رکھا ہے,0,0,0.0003583912330213934
36,اور انہیں اسباب میں سے ایک تقوی بھی ہے,0,0,0.0064578126184642315
37,ابھی تک تو میں اس کی کوالٹی سے خوش ہوں اپنا اثر دیکھا رہی ہے اور مٹیریل بھی ابھی تک چل رہا ہے,0,0,0.010020270943641663
38,سنوجی دلہن اب غور کروجی اپنے بڑے دیور سے ملوجی ماں کے دل کے یہ سرتاج شرمیلا جن کا انداز,0,0,0.021372366696596146
39,اس پریس کے قیام کی بدولت انجمن کے لیے اپنی کتب کی اشاعت میں بہت آسانیاں پیدا ہو گئیں,0,0,0.0013545441906899214
40,عام انتخابات آنے چاہیے,0,0,0.00032075814669951797
41,لعنت ہے اس ملک کے حکمرانوں پر,1,1,0.9946216344833374
42,اس کے باوجود بھی ان فن پاروں کا کچھ بھی پتہ نہیں چلا,0,0,0.007628761697560549
