comment_indices,comment_text,comment_label,comment_predicted,comment_prob
0,شہر کو صاف ستھرا بنانے میں نوجوانوں کی شراکت,0,[0],[0.0006101542385295033]
1,ہاہاہا ہاہاہا ہاہاہا پاگل کا بچہ,1,[1],[0.8329427242279053]
2,ایگزیکٹلی یہاں کبھی گنہگار کو سزا نہیں ہوتی ان سب کو سزا دو,1,[0],[0.0008027228177525103]
3,ماہا گٹھ بندھن کے امید وار کا حوالہ دیتے ہوئے احمد نے کہا تھا کہہ امیدوار کمزور ہے اور وہ این ڈی اے کے اشوک کمار یادو کو روک نہیں پائینگے اس لیے مدھوبنی کے عوام نے انسے یہاں سے انتخاب لڑنے کی درخواست کی ہے,0,[0],[8.108407200779766e-05]
4,ہاردک پٹیل نے لوک سبھا انتخابات سے قبل سر گرم سیاست میں داخلے کے لئے اپنے فیصلے کو حق بجانب قرار دیا اور کہا کہ اب وہ بہتر انداز میں ریاست کے چھے کروڑ عوام کے لئے کام کر سکیں گے,0,[0],[4.7332217945950106e-05]
5,وئی آپ کا بیک گڑاؤنڈ میوزک کونسا ہے پلیز ٹیل می,0,[0],[0.00019604222325142473]
6,یا اللہ جس نے بھی سب بارات کی رات آپ کی عبادت میں گزاری یا اللہ تو ان سب کی دعاؤں کو قبول کرنا اور جو نہیں کر پائے انہیں ہدایات دینا اور انکی بھی مغفرت کرنا آمین,0,[0],[9.363296703668311e-05]
7,کیا زینب کے قاتل کو بچانے کے لیے ملبہ ساحل پر ڈالنے کی کوئی مہم اسٹارٹ ہوئی ہے,1,[0],[0.03672812134027481]
8,ٹھیک ہے نا بناؤ,0,[0],[0.008630173280835152]
9,دہلی اور مدھیہ پردیش کے صدر تبدیل کردیئے گئے ہیں,0,[0],[0.0001176361765828915]
10,لوگوں نے دو تین چیخیں کیا ماری آنٹی تو شاٹ ہی ہوگئی بی سی,1,[1],[0.9629997611045837]
11,محمد ادریس امیر حسین بہت لوگوں کو ملوا بھی دونگا,0,[0],[0.0037860851734876633]
12,کون کون آج مارچ میں بھی یہ بڑھیا سونگ سن رہا ہے,0,[0],[0.0015317839570343494]
13,اس طرح کے اور ڈرامہ بھی بننے چاہیے,0,[0],[0.020720530301332474]
14,متعدد بار متنبہ کرنے کے باوجود بحرین شہری جو دو بچوں کا باپ بتایا جاتا ہے اسے ہراساں کرتا رہا اور آج خاتون کے گھر میں داخل ہوکر خود کو آگ لگالی جس کے باعث تینوں جھلس گئے,0,[0],[6.226512778084725e-05]
15,چھپ گئے سارے نظارے اوے کیا بات ہو گئی دل نے دل کو پکارا ملاقات ہو گئی,0,[0],[2.7439356927061453e-05]
16,مرس فاروقی کہاں گئی تیری مرسی,0,[0],[0.011020278558135033]
17,آئے گی جب سامنے چوم لونگا پیار سے حال دل کہہ دوں گا میں اس دیوانے یار سے پاس میرے آئے گی سن کے میری داستان میری نظروں سے بھلا جائیگی بچ کے کہا پہلے وہ شارماییجی پھر جاڑا گھابرااییجی مسکرا کر پھر میرے سینے سے لگ جائیگی آج پیلے بن میں تو پالچحین جھوم رہا ہوں اسکے خمار میں ہر موہن کی کوئی رادھا ہاں رے بنی ہے اس سنسار میں اس سنسار میں ملے نہ جب تک ناچینجی انتظار میں ناچینجی انتظار میں,0,[0],[2.256108018627856e-05]
18,لا لا لا لا لا لا,0,[0],[0.0002650975657161325]
19,مبصرین کا خیال ہے کہ فلسطین نیشنل قونصل کا اجلاس کوئی جوہری تبدیلی تو نہیں لائے گا تاہم اجلا میں ایگزیکٹو کمیٹی کے ‫ نئے ارکان کا انتخاب عمل میں لایا جا سکتا,0,[0],[1.724128560454119e-05]
20,پردہ ہے پردہ ہے پردہ ہے پردہ ہے,0,[0],[0.0001915771863423288]
21,شانی گلیڈی ایٹرز ہر نیک شخص مرنے کے بعد بھی سوال کا جواب دیتا ہے اسکے لیے شہید ہونے کی شرط نہیں لیکن سلام کے اس جواب کو ہر کوئی سن نہیں سکتا سلام کرنے والے کو بھی اتنا ہی نیک ہونا پڑتا ہے,0,[0],[0.02005244418978691]
22,میں کسی کو جہاز پر سوار ہونے سے روک نہیں سکتا ہے لیکن انہیں یہ پیغام ضرور دے سکتا ہونکہ اگر انہیں کھلاڑیوں کے آس پاس دیکھا گیا تو دوبارہ باہر نکال دیا جائے گا ہم نے جن کی شناخت کی ہے انکی تصاویر اور معلومات ٹیموں پولیس اور برطانوی نیشنل کرائم ایجنسی کو فراہم کردی ہیں,0,[0],[4.0416736737824976e-05]
23,ایم فرام پاکستان یہ سارے شو پلانٹڈ ہوتے ہیں بھائی جی ڈرامے بازی ہے ساری یہ,0,[0],[0.09230829030275345]
24,کانگریس کے ترجمان رندیپ سجےوالا نے کہا کہ کانگریس نے فروری کے ویڈیو کو فروری کو جاری کیا تھا,0,[0],[2.9949556846986525e-05]
25,جب تک جیو کا لوگو ہے کبھی بھی نہیں جیتے گی,0,[0],[0.00608329102396965]
26,آپ نے کچھ کہا کیا,0,[0],[0.0012401833664625883]
27,ڈی جی چھڈو بس کر فارغ آدمی,1,[0],[0.05255572125315666]
28,رزلٹس دیکھیے ہمارے پیج پر,0,[0],[0.001800747704692185]
29,بوفیرزون میں بزرگ گرمی کے باعث جاںبحق گرمی سے ہلاکتوں کی تعداد ہوگئی,0,[0],[5.682358460035175e-05]
30,برو نیکسٹ ویڈیو کا ٹائم باتیو کب اپلوڈ کروگے میں فرسٹ کمنٹ کرونگا پلیز,0,[0],[0.0005580763099715114]
31,صرف موقع ملنے کی بات ہے اگر یہ مسلسل ملتے رہے تو نتائج اور بہتر ہوں گے,0,[0],[9.670011786511168e-05]
32,انشاء اللہ,0,[0],[0.0033977809362113476]
33,اس ضمن میں بی جے پی نے لوک سبھا انتخابات کے تحت گجرات کے لیے آج اپنے اسٹار مشتہرین کی فہرست جاری کی ہے جس میں بی جے پی کے کئی بڑے بڑے لیڈروں کے نام شامل ہیں,0,[0],[2.882988701458089e-05]
34,بھائی میں نے خواب میں دو چاند دیکھا پھر اسکے بعد لال کلر کا چاند دیکھا پھر اسکے بعد آدھا چاند دیکھا اور اندھیری رات ہیں اسکے نیچے کالا پانی دیکھا مطلب بتاؤ پلیز پلیز,0,[0],[2.3342607164522633e-05]
35,ء میں شارخ خان خان اور غوری خان ایک اور بیٹے کے ایک والدین بنے جس کا نام انہوں نے ابراہم رکھا ہے,0,[0],[8.899941894924268e-05]
36,اور انہیں اسباب میں سے ایک تقوی بھی ہے,0,[0],[0.0024397922679781914]
37,ابھی تک تو میں اس کی کوالٹی سے خوش ہوں اپنا اثر دیکھا رہی ہے اور مٹیریل بھی ابھی تک چل رہا ہے,0,[0],[0.012345247901976109]
38,سنوجی دلہن اب غور کروجی اپنے بڑے دیور سے ملوجی ماں کے دل کے یہ سرتاج شرمیلا جن کا انداز,0,[0],[0.0003160850319545716]
39,اس پریس کے قیام کی بدولت انجمن کے لیے اپنی کتب کی اشاعت میں بہت آسانیاں پیدا ہو گئیں,0,[0],[0.0003054788103327155]
40,عام انتخابات آنے چاہیے,0,[0],[0.0008980403072200716]
41,لعنت ہے اس ملک کے حکمرانوں پر,1,[1],[0.9970728158950806]
42,اس کے باوجود بھی ان فن پاروں کا کچھ بھی پتہ نہیں چلا,0,[0],[0.0056438506580889225]
43,راہی مانوا دکھ کی چنتا کیوں ستاتی ہے دکھ تو اپنا ساتھی ہے سکھ ہے ایک چھاوں ڈھلتی آتی ہے جاتی ہے دکھ تو اپنا ساتھی ہے,0,[0],[0.0004842502239625901]
44,جیسے جی اسے پڑھنا لکھنا آگیا وہ خود خطوط لکھنے لگی,0,[0],[0.0014683784684166312]
45,صبح روٹی نہیں ملی گرل,0,[0],[0.029931824654340744]
46,ہاہاہاہا ہیوی ہو گیا یار,0,[0],[0.002451266860589385]
47,یہ والے کو کیا ہوا ہے,0,[0],[0.062362365424633026]
48,جیالوں کی ماں بہن ٹھوک ٹھوک کر سالے نے اپنی ٹانگیں توڑ دیں ہیں,1,[1],[0.9948980212211609]
49,آج کل روز ہے مےخانے میں آنا جانا تم کو ساقی سے ملا دینگے تم آؤ تو سہی,0,[0],[0.03182108700275421]
50,راجہ توصیف بھائی آپ کتنا کچھ جانتے ہے ماشاء اللہ اور آپ یہ بھی جانتے ہونگے قرآن ہے قرآن نہیں ہمیں بہت عزت کرنی چاہیے اپنے ریلیجین کی اللہ آپ کو اور ہمیں اپنے دین پر چلنے کی توفیق دے آمین ثم آمین,0,[0],[0.0003087913792114705]
51,سر سید کی دور اندیش نگاہوں نے مولوی عبد الحق میں وہ سب کچھ پا لیا جسے وہ دیکھنا چاہتے تھے,0,[0],[0.00013691617641597986]
52,میل ہم تمہارے ہیں تمہارے صنم ز جان من محبت کی ہر قسم کی قسم نہ جدا ہوں گے ہم,0,[0],[3.0120156225166284e-05]
53,ادبھت روپ یہ کیا بھاری مہیما بڑی ہے درشن کی پربھو مہیما بڑی ہے درشن کی بن مانگے پوری ہو جائے جو بھی اچھا ہو من کی پربھو جو بھی اچھا ہو من کی,0,[0],[0.0006493175169453025]
54,ارے امید عمران خان,0,[0],[0.0013012958224862814]
55,تدریس کا شعبہ چھوڑنے کے بعد آپ نے لکھنے کو اپنا مستقل ذریعہ معاش بنایا اور کئی ناول اور افسانوی مجموعے لکھے,0,[0],[9.843401494435966e-05]
56,تھینکس بھائی,0,[0],[0.0034178555943071842]
57,شادی مبارک سچولارشپ اور اردو زبان کی ترقی او ترویج اور حوججاج کی فاعلہ او بہبود سے ان کو گہری دلچسپی ہے اور وہ اس تعلق سے خصوصی اقدامات کر رہے ہیں,0,[0],[6.112630944699049e-05]
